,data,target
0,How does lightning travel ?,DESC
1,How old was Gene Siskel ?,NUM
2,How many calories are there in a Big Mac ?,NUM
3,How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,NUM
4,When did Mount St. Helens last erupt ?,NUM
5,What country boasts the most cars per mile of road ?,LOC
6,What year did Charles Dicken die ?,NUM
7,How many miles is it from NY to Austria ?,NUM
8,What were the last names of gangsters Bonnie and Clyde ?,HUM
9,Who is the Queen of Holland ?,HUM
10,Who was the 1st U.S. President ?,HUM
11,What was the education system in the 1960 's ?,ENTY
12,What is a dangling participle ?,DESC
13,What is DTMF ?,ABBR
14,How much does one ton of cement cost ?,NUM
15,What is `` snoogans '' ?,DESC
16,Who is known as `` the world 's oldest teenager '' ?,HUM
17,"In Dana 's `` Two Years Before the Mast , '' what seafarers lived in an abandoned oven on the beach at San Diego ?",HUM
18,What happened to Answers.com ?,DESC
19,What is The Gay Science ?,DESC
20,What ratio of children of ages between two and eleven watch ` The Simpsons ' ?,NUM
21,What chess outcome results when a player has no legal move ?,ENTY
22,What 's the International Lawn Tennis Challenge Trophy usually called ?,ENTY
23,Which medium is Hamblen the first singing cowboy in ?,ENTY
24,When was Hurricane Hugo ?,NUM
25,What 's distinctive about a palmiped 's feet ?,DESC
26,What do humans catch zoonose diseases from ?,ENTY
27,What product does `` Mrs. Olsen '' promote ?,ENTY
28,Where can I get information and statistics on countries and nations ?,LOC
29,How much does a poodle weigh ?,NUM
30,What is the meaning of Jesus ?,DESC
31,What was the V-8 Juice slogan,DESC
32,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",ENTY
33,What are the Arabic Numerals from 1 to 10 ?,DESC
34,Who won the 1968 California Democratic primary ?,HUM
35,How much is Clara Peller being paid by Wendy 's to say `` Where 's the beef '' ?,NUM
36,In what city is the famed St. Mark 's Square ?,LOC
37,How many minutes were there on the original GE College Bowl clock ?,NUM
38,Which classical Spanish writer said `` All that glitters is not gold '' ?,HUM
39,"What is the origin of the word , magic ?",DESC
40,Which gender has bigger thighs ?,ENTY
41,Which of the following famous people does not paint as a hobby ?,HUM
42,Which comic book was not spawned directly from the pulp magazines ?,ENTY
43,What city is wiener schnitzel named for ?,LOC
44,Which company claimed to be `` the world 's biggest toy store '' ?,HUM
45,What is idealab ! ?,DESC
46,"What European capital celebrated its 2 , 000th anniversary in 1951 ?",LOC
47,What woman pitcher has struck out Ted Williams and Hank Aaron ?,HUM
48,Which presidents of the USA were Masons ?,HUM
49,Where can I find the history of the Hungarian language ?,LOC
50,What French leader sold Louisiana to the United States ?,HUM
51,How many feet high is the hurdle in front of a runner 's steeplechase water jump ?,NUM
52,What woman was Time 's Man of the Year for 1952 ?,HUM
53,How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?,NUM
54,What are tonsils for ?,DESC
55,Name the first Russian astronaut to do a spacewalk .,HUM
56,What is a fear of night or darkness ?,ENTY
57,What color Poker chip is usually assigned the lowest value ?,ENTY
58,"What is the claim to fame of Agra , India ?",DESC
59,How does Belle describe her life in Beauty and the Beast ?,DESC
60,What is a fear of being alone ?,ENTY
61,What `` little red car '' is mentioned in pop singer Prince 's hit song ?,ENTY
62,What country did the Allies invade in World War II 's Operation Avalanche ?,LOC
63,What is a glory hole ?,DESC
64,What is the secret of the universe ?,DESC
65,What was the name of the Titanic 's captain ?,HUM
66,How many queen bees reign in a hive ?,NUM
67,How can you become an FBI agent ?,DESC
68,Why did the Globe Theatre burn down ?,DESC
69,What country is home to Heineken beer ?,LOC
70,Where are the Austerlitz and Victor Hugo subway stops ?,LOC
71,Where can I find a lesson plan for teaching the metric system conversion to American standard ?,LOC
72,What is Nero Wolfe 's favorite drink during office hours ?,ENTY
73,What is a heuristic ?,DESC
74,How much of the earth 's surface is permanently frozen ?,NUM
75,What 's the only work by Michelangelo that bears his signature ?,ENTY
76,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUM
77,Who is William Wordsworth ?,HUM
78,What classical Spanish writer warned,HUM
79,Where can I find a `` Fifth Element '' screensaver ?,LOC
80,What is the origin of the ethnic category `` caucasian '' ?,DESC
81,How do you get a pointsettia to turn red ?,DESC
82,Colin Powell is best known for what achievement ?,DESC
83,How many different vegetation zones are there ?,NUM
84,Which side of the face do most artists tend to show more of in self-portraits ?,ENTY
85,Who 's won the most Oscars for costume design ?,HUM
86,How would someone go about becoming an organ donor ?,DESC
87,What is the connection between New Krypton and Daxam ?,ENTY
88,"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?",ENTY
89,What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?,ENTY
90,What season does a hiemal activity normally take place in ?,NUM
91,"What is the smallest thing seen under the most powerful microscope , and how big is it ?",ENTY
92,Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,HUM
93,When did the `` Star-Spangled Banner '' become the national anthem ?,NUM
94,What fastener did Whitcomb Judson patent in 1893 ?,ENTY
95,What animal has the best hearing ?,ENTY
96,How many characters makes up a word for typing test purposes ?,NUM
97,Who was Darius ?,HUM
98,"What Broadway musical featured the song , `` If I were a rich man ? ''",ENTY
99,Who would you use the Heimlich maneuver on ?,HUM
100,What former president 's daughter has written a book titled Murder in the White House ?,HUM
101,What are the top five oil-producing countries in the world ?,LOC
102,Why do oceans contain salt water instead of fresh water ?,DESC
103,What year did nylon stockings first go on sale ?,NUM
104,What drink contains as many types of rum as possible ?,ENTY
105,What is a fear of rejection ?,ENTY
106,Where is Glasgow ?,LOC
107,What is the name of the art of growing miniature trees ?,ENTY
108,What war was fought by the Spanish as far as the Philippines ?,ENTY
109,What animals do you find in the stock market ?,ENTY
110,"Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?",LOC
111,What 's the name of a golf course in Myrtle Beach ?,ENTY
112,What is a fear of robbers ?,ENTY
113,How far is London UK from California ?,NUM
114,How much money was the minimum wage in 1991 ?,NUM
115,When did Hitler come to power in Germany ?,NUM
116,What southwestern state is dubbed The Silver State ?,LOC
117,What does the name Shawn mean ?,DESC
118,When do you plant winter wheat ?,NUM
119,Name the highest mountain .,LOC
120,What novel inspired the movie BladeRunner ?,ENTY
121,What is the name of the Family Circus 's dog ?,ENTY
122,What is the habitat of the chickadee ?,LOC
123,What is the difference between microprocessors & microcontrollers ?,DESC
124,What is the most popular last name ?,HUM
125,How long would it take for a $ savings bond to mature ?,NUM
126,What was the name of Baretta 's cockatoo ?,ENTY
127,What father and son won the Medal of Honor ?,HUM
128,What is the capital of Uruguay ?,LOC
129,What city is graced by the Arch of Titus ?,LOC
130,What were the trials called which followed World War II ?,ENTY
131,How many states have a lottery ?,NUM
132,What percent of world 's fresh water is found in Canada ?,NUM
133,What radio station did Paul Harvey work for ?,HUM
134,How did Jayne Mansfield die ?,DESC
135,What does a pedometer measure ?,ENTY
136,How does an abacus work ?,DESC
137,Who was the prophet of the Jewish people ?,HUM
138,What is typhoid fever ?,DESC
139,What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?,ENTY
140,Who won the first general election for President held in Malawi in May 1994 ?,HUM
141,"What is the best place to live in the world , considering climate , civilization ?",LOC
142,Who is the fastest swimmer in the world ?,HUM
143,What was the monster in Spielberg 's film `` Jaws '' ?,ENTY
144,What is porphyria ?,DESC
145,What are the living conditions in Cuba ?,DESC
146,What caused the death of Bob Marley ?,DESC
147,What is a fear of jealousy ?,ENTY
148,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",ENTY
149,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUM
150,Name a flying mammal .,ENTY
151,What Soviet leader owned a Rolls-Royce ?,HUM
152,How long do cardinal eggs incubate ?,NUM
153,Why is the development of space so important ?,DESC
154,Who was the lyricist and who was the composer between Gilbert and Sullivan ?,HUM
155,What was Al Capone 's nickname ?,HUM
156,What U.S. Air Force general led the first bombing raid over Tokyo ?,HUM
157,What kind of species is the monster in the film `` Jaws '' ?,ENTY
158,What 's the most popular four-player game of all time ?,ENTY
159,What country is Kosovo a part of ?,LOC
160,What does Robert mean ?,DESC
